"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star Rating Index","Submit_ID","Screensize_inches"
"JVC","LT-70NQ7155A","Australia",176.539,"LCD",141.1,4.908338226041787,166074,70
"JVC","LT-70NQ7165A","Australia",176.539,"LCD (LED)",136.3,4.908338226041787,175207,70
"JVC","LT-75N7125A","Australia",188.974,"LCD (LED)",189.3,4.01967621728369,144727,74
"JVC","LT-75N7125A11","Australia",188.424,"LCD",221.6,3.7098681994864435,149841,74
"AOA","LTD19FT","Australia,Fiji,New Zealand",47.013,"LCD (LED)",17,4.785335617340371,179970,19
"AOA","LTD19FTD","Australia,Fiji,New Zealand",47.013,"LCD (LED)",17.1,4.717944571191044,180074,19
"AOA","LTG43UHD","Australia,Fiji,New Zealand",107.987,"LCD (LED)",50.04,5.723561815432824,170251,43
"AOA","LTW24FHD","Australia,Fiji,New Zealand",60.47,"LCD (LED)",21.36,5.353523151201295,181254,24
"AOA","LTW50UHD","Australia,Fiji,New Zealand",125.731,"LCD (LED)",73.4,5.2456061104364435,166021,50
"PRISM+","M55","Australia",138.783,"LCD (LED)",79.3,5.293361671010193,166115,55
"PRISM+","M65","Australia",163.897,"LCD (LED)",111.6,5.1556252552474255,166150,65
"PRISM+","M75","Australia",189.338,"LCD (LED)",140.4,5.246803153276395,166151,75
"SAMSUNG","MRA55R85HA*","Australia,Fiji,New Zealand",138.783,"LCD (LED)",112,4.160896259989094,176854,55
"SAMSUNG","MRA55R85HAS","Australia,Fiji,New Zealand",138.783,"LCD (LED)",112,4.160896259989094,176854,55
"SAMSUNG","MRA55R85HAW","Australia,Fiji,New Zealand",138.783,"LCD (LED)",112,4.160896259989094,176854,55
"SAMSUNG","MRA65R85HA*","Australia,Fiji,New Zealand",163.897,"LCD (LED)",147,4.338565762736138,176435,65
"SAMSUNG","MRA65R85HAS","Australia,Fiji,New Zealand",163.897,"LCD (LED)",147,4.338565762736138,176435,65
"SAMSUNG","MRA65R85HAW","Australia,Fiji,New Zealand",163.897,"LCD (LED)",147,4.338565762736138,176435,65
"SAMSUNG","MRA65R95HA*","Australia,Fiji,New Zealand",163.897,"LCD (LED)",153,4.159610511283939,176019,65
"SAMSUNG","MRA65R95HAS","Australia,Fiji,New Zealand",163.897,"LCD (LED)",153,4.159610511283939,176019,65
"SAMSUNG","MRA65R95HAW","Australia,Fiji,New Zealand",163.897,"LCD (LED)",153,4.159610511283939,176019,65
"SAMSUNG","MRA75R85HA*","Australia,Fiji,New Zealand",189.338,"LCD (LED)",180,4.667751100375872,176579,75
"SAMSUNG","MRA75R85HAS","Australia,Fiji,New Zealand",189.338,"LCD (LED)",180,4.667751100375872,176579,75
"SAMSUNG","MRA75R85HAW","Australia,Fiji,New Zealand",189.338,"LCD (LED)",180,4.667751100375872,176579,75
"SAMSUNG","MRA75R95HA*","Australia,Fiji,New Zealand",189.338,"LCD (LED)",203,4.130871593408056,176016,75
"SAMSUNG","MRA75R95HAS","Australia,Fiji,New Zealand",189.338,"LCD (LED)",203,4.130871593408056,176016,75
"SAMSUNG","MRA75R95HAW","Australia,Fiji,New Zealand",189.338,"LCD (LED)",203,4.130871593408056,176016,75
"SAMSUNG","MRA85R85HA*","Australia,Fiji,New Zealand",214.783,"LCD (LED)",234,4.5833433642947075,176436,85
"SAMSUNG","MRA85R85HAS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",234,4.5833433642947075,176436,85
"SAMSUNG","MRA85R85HAW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",234,4.5833433642947075,176436,85
"SAMSUNG","MRA85R95HA*","Australia,Fiji,New Zealand",214.783,"LCD (LED)",260,4.112224590866406,176018,85
"SAMSUNG","MRA85R95HAS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",260,4.112224590866406,176018,85
"SAMSUNG","MRA85R95HAW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",260,4.112224590866406,176018,85
"SAMSUNG","MRA100R85H*","Australia,Fiji,New Zealand",252.784,"LCD (LED)",300,4.889934275043304,179042,100
